# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,1530,,Architectural Features/HVAC  (Use 1531 - 1533 as alternatives),SF/SM,"L,M,U,S,V",,x,
,1531,,Roofing & Siding,SF/SM,"L,M,U,S,V",,x,
,1532,,Masonry,SF/SM,"L,M,U,S,V",,x,
,1533,,HVAC,SF/SM,"L,M,U,S,V",,x,
,1598.0,,"Buildings/Architectural 
(All Material and Labor costs for Building/Architectural Features)  (CODE FOR COST ROLL-UP)",SF/SM,"L,M,U,S,V",,x,
,1599,,Re-Work,LS,,,,
1700.0,,,ABOVE GROUND PIPING  (HEADER ONLY),,,,x,
,1701,,"Pipe Specialties  -  MATERIAL COST ONLY
 (Material costs for items such as ""Y"" strainers, air vents, expansion joints, fire extinguishers, fittings, flame ladders, flare stack, hoses and hose fittings, pulsation dampeners, swing joint fittings, safety showers, and sample coolers.  Charge labor to pipe fabrication and erection)",EA,"M,V",,x,
,1701,0001,Expansion Joints,EA,"M,V",New - User Defined,x,
,1701,0002,Hoses,EA,"M,V",New - User Defined,x,
,1701,0003,Seal Water Controllers,EA,"M,V",New - User Defined,x,
,1701,0004,Safety Showers,EA,"M,V",New - User Defined,x,
,1701,0005,Safety Spray Shields,EA,"M,V",New - User Defined,x,
,1701,0006,Overflow Pots,EA,"M,V",New - User Defined,x,
,1701,0007,Dip Tubes,EA,"M,V",New - User Defined,x,
,1701,0008,Grounding Ring & Restriction Orifice,EA,"M,V",New - User Defined,x,
,1701,0009,Specialty Item,EA,"M,V",New - User Defined,x,
,1701,0010,Steam Trap,EA,"M,V",New - User Defined,x,
,1701,0011,Strainer,EA,"M,V",New - User Defined,x,
